Date,SBUX,WMT,WST,TSLA,GME
2021-10-15,108.394,137.818,403.651,281.01,45.82
2021-10-14,108.806,137.153,406.267,272.773,45.9575
2021-10-13,107.717,135.685,401.104,270.36,46.015
2021-10-12,107.952,136.677,402.054,268.573,43.955
2021-10-11,107.893,136.816,402.423,263.98,44.525
2021-10-08,108.167,136.945,405.977,261.83,43.17
2021-10-07,109.14,136.538,416.532,264.537,43.03
2021-10-06,108.58,134.951,412.109,260.917,42.7675
2021-10-05,107.804,133.969,412.298,260.197,43.045
2021-10-04,108.404,133.096,408.654,260.51,42.84
2021-10-01,109.828,134.386,418.54,258.407,44.2275
2021-09-30,107.294,136.677,423.333,258.493,43.8675
2021-09-29,109.101,137.719,431.181,260.437,43.98
2021-09-28,108.649,137.779,426.208,259.187,44.65
2021-09-27,110.563,139.484,440.337,263.787,47.37
2021-09-24,110.985,140.397,455.805,258.13,46.29
2021-09-23,111.015,140.0,453.918,251.213,47.81
2021-09-22,109.965,139.921,447.896,250.647,47.535
2021-09-21,109.15,140.248,446.838,246.46,47.4875
2021-09-20,108.757,139.97,443.393,243.39,48.05
2021-09-17,110.298,141.915,447.338,253.163,51.2425
2021-09-16,111.525,142.212,453.169,252.33,51.5925
2021-09-15,111.496,141.746,451.201,251.943,51.13
2021-09-14,115.6,141.498,450.773,248.163,49.81
2021-09-13,115.914,142.242,440.957,247.667,50.85
2021-09-10,116.071,143.056,457.722,245.423,47.6025
2021-09-09,115.531,143.571,459.929,251.62,49.795
2021-09-08,114.804,144.593,467.139,251.29,49.7
2021-09-07,112.616,144.405,460.548,250.973,49.75
2021-09-03,113.98,146.348,463.064,244.523,50.6875
2021-09-02,114.157,145.674,457.692,244.13,53.38
2021-09-01,114.234,144.91,451.831,244.697,53.2425
2021-08-31,114.274,145.228,450.333,245.24,54.56
2021-08-30,112.439,144.831,450.403,243.637,52.3
2021-08-27,111.967,143.67,445.69,237.307,51.2375
2021-08-26,111.192,144.483,445.43,233.72,51.305
2021-08-25,112.399,146.06,443.263,237.067,49.9125
2021-08-24,111.929,146.002,444.612,236.163,52.5725
2021-08-23,111.996,147.529,445.3,235.433,41.2225
2021-08-20,111.486,148.511,448.226,226.753,39.825
2021-08-19,111.192,147.192,445.69,224.49,38.225
2021-08-18,112.506,146.2,440.967,229.663,39.2625
2021-08-17,113.37,147.777,440.597,221.903,40.8875
2021-08-16,114.324,147.827,440.357,228.723,40.9825
2021-08-13,113.557,146.626,433.039,239.057,40.63
2021-08-12,112.576,146.16,428.494,240.75,40.5875
2021-08-11,113.303,146.557,421.615,235.94,39.695
2021-08-10,112.763,145.257,423.791,236.663,39.7625
2021-08-09,114.264,142.232,427.786,237.92,40.2825
2021-08-06,115.334,141.885,426.268,233.033,37.9425
2021-08-05,115.314,142.143,424.441,238.21,38.36
2021-08-04,114.56,139.554,426.917,236.973,36.7
2021-08-03,115.414,140.516,420.996,236.58,38.1875
2021-08-02,116.621,138.949,414.046,236.557,39.4125
2021-07-30,117.642,139.266,410.551,229.067,40.28
2021-07-29,118.575,138.968,403.761,225.783,41.215
2021-07-28,118.603,138.79,382.912,215.66,42.28
2021-07-27,122.098,139.356,377.309,214.927,44.635
2021-07-26,122.128,139.346,376.441,219.207,45.985
2021-07-23,122.041,139.157,379.985,214.46,45.09
2021-07-22,118.82,138.017,372.916,216.42,44.7125
2021-07-21,115.551,137.917,366.904,218.43,46.4525
2021-07-20,113.764,138.602,371.628,220.167,47.795
2021-07-19,111.722,137.977,369.771,215.407,43.3725
2021-07-16,115.031,138.294,372.427,214.74,42.26
2021-07-15,115.257,138.393,370.729,216.867,41.705
2021-07-14,116.071,138.284,370.209,217.793,41.905
2021-07-13,115.825,137.342,371.418,222.847,45.015
2021-07-12,114.764,136.826,374.754,228.567,47.3125
2021-07-09,113.813,137.074,372.956,218.983,47.8075
2021-07-08,112.369,136.38,371.877,217.603,47.845
2021-07-07,113.489,136.498,371.428,214.883,47.665
2021-07-06,112.124,136.717,367.773,219.86,49.89
2021-07-02,111.388,136.886,364.528,226.3,50.7075
2021-07-01,109.866,136.112,361.802,225.973,51.09
2021-06-30,108.324,137.779,357.918,226.567,53.535
2021-06-29,108.777,134.148,358.816,226.92,52.72
2021-06-28,108.747,134.921,361.992,229.573,53.3125
2021-06-25,109.513,135.338,358.876,223.957,52.3775
2021-06-24,108.501,133.761,358.357,226.607,53.0775
2021-06-23,108.08,132.828,357.518,218.857,54.835
2021-06-22,108.364,133.88,358.896,207.903,55.1
2021-06-21,107.51,133.265,356.41,206.943,50.0925
2021-06-18,106.283,132.055,351.127,207.77,53.455
2021-06-17,107.913,134.555,350.868,205.533,55.8975
2021-06-16,107.883,133.999,344.967,201.623,55.7425
2021-06-15,108.404,136.776,343.699,199.787,55.625
2021-06-14,108.954,137.322,343.998,205.897,57.36
2021-06-11,109.051,137.511,344.188,203.297,58.335
2021-06-10,108.717,136.668,342.64,203.373,55.0975
2021-06-09,107.913,135.874,334.821,199.593,75.64
2021-06-08,108.04,136.618,329.21,201.197,75.0
2021-06-07,107.854,137.659,332.215,201.71,70.0025
2021-06-04,108.501,138.582,332.325,199.683,62.09
2021-06-03,107.647,138.334,331.676,190.947,64.545
2021-06-02,109.474,138.095,332.665,201.707,70.56
2021-06-01,109.808,138.393,339.036,207.967,62.255
2021-05-28,110.328,138.76,346.364,208.407,55.5
2021-05-27,109.965,138.423,343.559,210.283,63.5325
2021-05-26,109.336,138.899,343.249,206.377,60.64
2021-05-25,109.121,139.068,344.217,201.563,52.3575
2021-05-24,109.011,138.493,338.396,202.147,45.0025
2021-05-21,107.46,138.483,332.345,193.627,44.1975
2021-05-20,107.933,139.147,331.696,195.593,42.6225
2021-05-19,106.253,138.651,324.796,187.82,42.2075
2021-05-18,107.598,138.641,325.795,192.623,45.1675
2021-05-17,107.52,135.695,325.625,192.277,45.15
2021-05-14,107.727,136.31,331.966,196.58,39.98
2021-05-13,107.049,135.061,327.213,190.563,41.125
2021-05-12,106.371,132.808,323.728,196.63,36.1975
2021-05-11,109.571,136.34,334.113,205.733,36.73
2021-05-10,110.298,137.58,332.625,209.68,35.805
2021-05-07,110.338,136.975,332.575,224.123,40.2775
2021-05-06,110.73,137.808,328.331,221.18,40.2525
2021-05-05,109.504,136.826,327.512,223.647,39.87
2021-05-04,110.112,136.945,328.111,224.533,40.1825
2021-05-03,111.663,138.294,328.79,228.3,40.55
2021-04-30,110.485,136.152,327.432,236.48,43.3975
2021-04-29,110.622,135.874,323.478,225.667,44.0475
2021-04-28,108.462,134.187,321.152,231.467,44.645
2021-04-27,112.085,134.663,319.294,234.913,44.4425
2021-04-26,111.859,134.207,321.342,246.067,42.2325
2021-04-23,113.44,136.142,322.609,243.133,37.795
2021-04-22,111.859,135.914,320.772,239.897,37.7925
2021-04-21,112.654,137.411,322.759,248.04,39.6275
2021-04-20,112.193,137.014,318.136,239.663,39.6325
2021-04-19,113.48,135.953,315.569,238.21,41.0925
2021-04-16,114.196,136.836,312.624,246.593,38.6725
2021-04-15,112.576,136.4,309.748,246.283,39.11
2021-04-14,111.132,135.586,298.913,244.077,41.6325
2021-04-13,111.329,135.626,305.275,254.107,35.2475
2021-04-12,109.828,136.042,295.798,233.993,35.2725
2021-04-09,109.218,136.022,295.379,225.673,39.59
2021-04-08,109.081,135.953,290.755,227.933,42.565
2021-04-07,109.228,136.042,288.06,223.657,44.4925
2021-04-06,109.188,136.34,290.157,230.54,46.125
2021-04-05,107.137,135.685,288.439,230.35,46.7375
2021-04-01,105.546,131.975,283.686,220.583,47.8625
2021-03-31,105.449,132.184,280.701,222.643,47.455
2021-03-30,106.41,132.095,277.276,211.873,48.615
2021-03-29,105.321,133.008,279.432,203.763,45.325
2021-03-26,106.048,131.509,279.233,206.237,45.25
2021-03-25,103.593,130.418,274.39,213.463,45.9375
2021-03-24,101.296,129.536,277.016,210.09,30.085
2021-03-23,102.533,130.349,282.169,220.72,45.4375
2021-03-22,103.799,128.821,281.409,223.333,48.6225
2021-03-19,102.621,128.207,276.088,218.29,50.0675
2021-03-18,103.848,126.52,267.92,217.72,50.4375
2021-03-17,106.587,128.197,273.531,233.937,52.4525
2021-03-16,107.451,129.268,273.111,225.627,52.0425
2021-03-15,105.095,129.308,274.959,235.98,55.035
2021-03-12,104.025,129.972,273.061,231.243,66.125
2021-03-11,103.564,128.057,271.843,233.2,65.0
2021-03-10,103.995,128.107,266.701,222.687,66.25
2021-03-09,102.827,124.903,266.392,224.527,61.725
2021-03-08,101.355,123.931,260.35,187.667,48.625
2021-03-05,101.512,125.131,261.399,199.317,34.435
2021-03-04,101.217,123.594,256.306,207.147,33.0875
2021-03-03,102.504,123.653,266.591,217.733,31.045
2021-03-02,103.455,126.094,277.036,228.813,29.545
2021-03-01,103.131,127.303,281.909,239.477,30.1
2021-02-26,104.241,125.915,279.572,225.167,25.435
2021-02-25,99.8432,127.879,276.616,227.407,27.1825
2021-02-24,100.736,129.099,277.854,247.34,22.9275
2021-02-23,97.8203,131.291,273.231,232.947,11.2425
2021-02-22,98.2523,133.434,271.603,238.167,11.5
2021-02-19,99.7438,134.069,280.471,260.433,10.1475
2021-02-18,101.296,133.404,295.599,262.46,10.1725
2021-02-17,100.795,142.658,292.863,266.05,11.485
